Synset,Lemma
analyze.v.01,анализировать
analyze.v.02,разбирать
analyze.v.03,разбирать
analyze.v.04,анализировать
study.v.02,обучаться
study.v.03,рассматривать
learn.v.04,изучать
study.v.05,подчитывать
study.v.06,обдумывать
examine.v.02,наблюдать
probe.v.01,зондировать
examine.v.04,расспрашивать
test.v.01,тестировать
poll.v.01,опрашивать
size_up.v.01,осматривать
hash_out.v.01,обсуждать
try_on.v.01,примерять
sample.v.01,набирать
try.v.01,пытаться
investigate.v.02,расследовать
investigate.v.01,исследовать
learn.v.02,узнавать
interpret.v.01,интерпретировать
see.v.05,считать
search.v.01,искать
search.v.04,обыскивать
view.v.02,обдумывать
learn.v.01,изучать
memorize.v.01,запоминать
teach.v.01,учить
inspect.v.01,осматривать
check.v.01,проверять
determine.v.08,устанавливать
control.v.02,удерживать
survey.v.01,обдумывать
research.v.02,углубляться
audit.v.01,проверять
screen.v.02,осматривать
quiz.v.01,экзаменовать
research.v.01,исследовать
survey.v.02,наблюдать
screen.v.03,примерять
screen.v.01,проверяться
interrogate.v.02,расспрашивать
review.v.03,осматривать
visit.v.04,посещать
check.v.22,проверять
check.v.02,осматривать
control.v.05,сверять
check.v.08,одобрять
